item_id,item_feedback
c53,"[Correction] Wen man..."
c69,"Keinen grundsätzlichen gesetzlichen Mindestlohn sondern vielleicht eher einen branchenspezifischen. Allerdings könnte dieser Mindestlohns icherlich am ehesten von Gewerkschaften angestoßen sein, (als selbst 'erkämpfter' Lohn der Arbeiter), was möglicherweise eine *gesetzliche* Vorgabe unnötig macht"
c30,"[Correction] '... auf den Wert an** natürlichen ...', '... den *s*ie abbauen ...'"
c19,"[Correction] '... ist es wichtig, das*s* Unternehmen, ...'"
c47,"[Correction] '... in ein Unternehmen investiert** und dieses ...'"
c37,"[Correction] '... beste Möglichkeit*,* um unsere ...'"
c01,"für besonders lebensnotwendig halte ich auch ein stabiles, soziales Gerüst im individuellen Umfeld (nicht gesellschaftlich)"
c09,"[Correction] 'Anteil ihr Mietein*n*ahmen,...', '... ihres gesamten Einkommen*s* ...'"
c54,"[Correction] '... mehr als *einen* *den* prozentualen Anteil ...'"
c38,"[Correction] '... natürlichen Ordnung*,* an die wir uns ...'"
c74,"[Correction] '... weniger anstrengen*,* um Geld ...'"
c39,"Die Bewertung was *schlecht* für die Allgemeinheit ist, finde ich schwierig. Es ist schlecht, wenn fossile Brennstoffe für eine Produktion genutzt werden. Aber ist es nicht auch schlecht, wenn viele Arbeitsplätze möglicherweise durch Schließung einer 'schädlichen' Produktionsstätte verloren gehen?"
c33,"[Correction] 'Wert des Landes, das** sie belegen.'"
c66,"[Correction] 'von ihrem selbstgenutze*n* Wohneigentum ...'"
c65,"[Correction] '... eigene Zukunft** und die Zukunft ...', 'Klimawandels tragen** und riesige ...'"
c72,"[Correction] '... Wenn eine Person oder *ein* Unternehmen mehrfach am Tag ...', '... sollte sie *oder es* eine Steuer ...'"
c32,"[Correction] '... eigentlich nur, das*s* die Polizei ...'"
c77,"[Correction] '... oder eine** Investorin mag an ...'"
c45,"[Correction] '... bessere Wege*,* um öffentliche ...'"
c42,"[Correction] '...setzen** und das Marktgeschehen ..."
c56,"[Correction] 'entscheiden*,* wie viel öffentliches' ... 'wollen** und wer dazu'"
c02,"[Correction] 'Talent hat** und dieses ...'"
c27,"[Correction] '... etwas besitzt*,* das €150.000 *w*ert ist** und Schulden...'"
c44,"[Correction] '... eingegangenes Ausfall**risiko ...'"
c03,"[Correction] '... sollten *denselben* absoluten ...'"
c15,"[Correction] 'Ein*e* Arbeiterin sollte ...'"
c23,"[Correction] '... damit *a*ndere sie sehen ...'"
c44,"[Correction] '... und *ihr* erduldetes Risiko ...'"
c57,"[Correction] '... sollte *denselben* prozentualen Anteil ...'"